sample	contig	phylum
ERR315859	k141_703560	Actinomycetota
ERR315859	k141_661246	Pseudomonadota
ERR315859	k141_487462	Cyanobacteriota
ERR315859	k141_661300	Pseudomonadota
ERR315859	k141_402151	Bacteroidota
ERR315859	k141_227872	Cyanobacteriota
ERR315859	k141_98703	Pseudomonadota
ERR315859	k141_790423	Bacteroidota
ERR315859	k141_617868	Cyanobacteriota
ERR315859	k141_98716	Cyanobacteriota
ERR315859	k141_11812	Pseudomonadota
ERR315859	k141_55513	Pseudomonadota
ERR315859	k141_185789	Bacillota
ERR315859	k141_487639	Pseudomonadota
ERR315859	k141_574194	Actinomycetota
ERR315859	k141_834263	Pseudomonadota
ERR315859	k141_227955	Pseudomonadota
ERR315859	k141_703848	Pseudomonadota
ERR315859	k141_661579	Pseudomonadota
ERR315859	k141_55634	Pseudomonadota
ERR315859	k141_272065	Bacillota
ERR315859	k141_618068	Pseudomonadota
ERR315859	k141_661593	Pseudomonadota
ERR315859	k141_574267	Cyanobacteriota
ERR315859	k141_185947	Planctomycetota
ERR315859	k141_357900	Bacillota
ERR315859	k141_185976	Cyanobacteriota
ERR315859	k141_186061	Pseudomonadota
ERR315859	k141_487936	Pseudomonadota
ERR315859	k141_228129	Pseudomonadota
ERR315859	k141_790861	Bacillota
ERR315859	k141_99130	Pseudomonadota
ERR315859	k141_444849	Bacteroidota
ERR315859	k141_704160	Pseudomonadota
ERR315859	k141_358097	Pseudomonadota
ERR315859	k141_574547	Bacillota
ERR315859	k141_402894	Planctomycetota
ERR315859	k141_618530	Pseudomonadota
ERR315859	k141_748405	Pseudomonadota
ERR315859	k141_445056	Pseudomonadota
ERR315859	k141_704334	Planctomycetota
ERR315859	k141_834787	Pseudomonadota
ERR315859	k141_272638	Pseudomonadota
ERR315859	k141_445160	Pseudomonadota
ERR315859	k141_662189	Cyanobacteriota
ERR315859	k141_662209	Pseudomonadota
ERR315859	k141_143025	Bacillota
ERR315859	k141_662241	Pseudomonadota
ERR315859	k141_618701	Pseudomonadota
ERR315859	k141_316643	Cyanobacteriota
ERR315859	k141_403185	Pseudomonadota
ERR315859	k141_574891	Pseudomonadota
ERR315859	k141_99633	Pseudomonadota
ERR315859	k141_748703	Pseudomonadota
ERR315859	k141_748737	Pseudomonadota
ERR315859	k141_143135	Pseudomonadota
ERR315859	k141_488628	Pseudomonadota
ERR315859	k141_618859	Cyanobacteriota
ERR315859	k141_272950	Cyanobacteriota
ERR315859	k141_532346	Pseudomonadota
ERR315859	k141_186755	Cyanobacteriota
ERR315859	k141_228854	Bacillota
ERR315859	k141_618913	Cyanobacteriota
ERR315859	k141_791539	Cyanobacteriota
ERR315859	k141_532434	Pseudomonadota
ERR315859	k141_532461	Planctomycetota
ERR315859	k141_575220	Pseudomonadota
ERR315859	k141_488868	Pseudomonadota
ERR315859	k141_317036	Pseudomonadota
ERR315859	k141_100084	Pseudomonadota
ERR315859	k141_143449	Cyanobacteriota
ERR315859	k141_100089	Bacillota
ERR315859	k141_317047	Bacillota
ERR315859	k141_704982	Pseudomonadota
ERR315859	k141_229071	Pseudomonadota
ERR315859	k141_619082	Bacteroidota
ERR315859	k141_835375	Planctomycetota
ERR315859	k141_532736	Pseudomonadota
ERR315859	k141_273360	Thermodesulfobacteriota
ERR315859	k141_13350	Pseudomonadota
ERR315859	k141_489168	Pseudomonadota
ERR315859	k141_57022	Pseudomonadota
ERR315859	k141_273436	Planctomycetota
ERR315859	k141_705156	Bacillota
ERR315859	k141_532878	Pseudomonadota
ERR315859	k141_403946	Pseudomonadota
ERR315859	k141_489275	Pseudomonadota
ERR315859	k141_317391	Planctomycetota
ERR315859	k141_532899	Pseudomonadota
ERR315859	k141_13457	Cyanobacteriota
ERR315859	k141_403985	Cyanobacteriota
ERR315859	k141_619438	Bacillota
ERR315859	k141_57184	Cyanobacteriota
ERR315859	k141_835647	Cyanobacteriota
ERR315859	k141_187588	Pseudomonadota
ERR315859	k141_575781	Bacteroidota
ERR315859	k141_446195	Bacteroidota
ERR315859	k141_835722	Pseudomonadota
ERR315859	k141_100585	Pseudomonadota
ERR315859	k141_705415	Pseudomonadota
ERR315859	k141_663340	Pseudomonadota
ERR315859	k141_705487	Pseudomonadota
ERR315859	k141_404221	Planctomycetota
ERR315859	k141_229654	Bacillota
ERR315859	k141_663406	Pseudomonadota
ERR315859	k141_749907	Pseudomonadota
ERR315859	k141_705555	Pseudomonadota
ERR315859	k141_663526	Bacillota
ERR315859	k141_229813	Bacillota
ERR315859	k141_273993	Bacillota
ERR315859	k141_533430	Bacteroidota
ERR315859	k141_318107	Pseudomonadota
ERR315859	k141_792806	Cyanobacteriota
ERR315859	k141_144528	Pseudomonadota
ERR315859	k141_188124	Pseudomonadota
ERR315859	k141_576386	Pseudomonadota
ERR315859	k141_230017	Pseudomonadota
ERR315859	k141_57962	Bacillota
ERR315859	k141_576475	Pseudomonadota
ERR315859	k141_318246	Cyanobacteriota
ERR315859	k141_230101	Pseudomonadota
ERR315859	k141_101208	Cyanobacteriota
ERR315859	k141_404825	Pseudomonadota
ERR315859	k141_706153	Bacillota
ERR315859	k141_750560	Pseudomonadota
ERR315859	k141_274475	Pseudomonadota
ERR315859	k141_447102	Pseudomonadota
ERR315859	k141_58298	Verrucomicrobiota
ERR315859	k141_664163	Cyanobacteriota
ERR315859	k141_404997	Pseudomonadota
ERR315859	k141_490474	Pseudomonadota
ERR315859	k141_750740	Bacillota
ERR315859	k141_188589	Cyanobacteriota
ERR315859	k141_145029	Pseudomonadota
ERR315859	k141_664291	Campylobacterota
ERR315859	k141_576943	Cyanobacteriota
ERR315859	k141_836812	Cyanobacteriota
ERR315859	k141_706496	Euryarchaeota
ERR315859	k141_360664	Pseudomonadota
ERR315859	k141_577005	Bacteroidota
ERR315859	k141_274737	Pseudomonadota
ERR315859	k141_793433	Pseudomonadota
ERR315859	k141_145165	Cyanobacteriota
ERR315859	k141_836841	Bacillota
ERR315859	k141_534315	Pseudomonadota
ERR315859	k141_577076	Bacteroidota
ERR315859	k141_14875	Bacillota
ERR315859	k141_360765	Planctomycetota
ERR315859	k141_14891	Pseudomonadota
ERR315859	k141_230683	Cyanobacteriota
ERR315859	k141_318930	Cyanobacteriota
ERR315859	k141_447513	Actinomycetota
ERR315859	k141_706703	Pseudomonadota
ERR315859	k141_447537	Bacillota
ERR315859	k141_145478	Cyanobacteriota
ERR315859	k141_189063	Bacillota
ERR315859	k141_275024	Pseudomonadota
ERR315859	k141_15071	Cyanobacteriota
ERR315859	k141_577315	Pseudomonadota
ERR315859	k141_230834	Pseudomonadota
ERR315859	k141_793729	Bacillota
ERR315859	k141_319167	Pseudomonadota
ERR315859	k141_534666	Cyanobacteriota
ERR315859	k141_15143	Bacillota
ERR315859	k141_189199	Pseudomonadota
ERR315859	k141_319249	Bacteroidota
ERR315859	k141_319305	Bacteroidota
ERR315859	k141_577536	Pseudomonadota
ERR315859	k141_189314	Pseudomonadota
ERR315859	k141_15305	Pseudomonadota
ERR315859	k141_319390	Pseudomonadota
ERR315859	k141_59291	Bacillota
ERR315859	k141_577671	Campylobacterota
ERR315859	k141_491497	Bacillota
ERR315859	k141_319468	Cyanobacteriota
ERR315859	k141_146043	Bacillota
ERR315859	k141_275509	Cyanobacteriota
ERR315859	k141_319515	Pseudomonadota
ERR315859	k141_577741	Bacillota
ERR315859	k141_59449	Bacillota
ERR315859	k141_751923	Pseudomonadota
ERR315859	k141_102574	Cyanobacteriota
ERR315859	k141_406337	Pseudomonadota
ERR315859	k141_837814	Pseudomonadota
ERR315859	k141_59602	Pseudomonadota
ERR315859	k141_577892	Pseudomonadota
ERR315859	k141_361694	Pseudomonadota
ERR315859	k141_622096	Pseudomonadota
ERR315859	k141_231596	Pseudomonadota
ERR315859	k141_535411	Bacillota
